grant_title,id,organization,total_amount,group,Grant start date,start_month,start_day,start_year
harvest.ai,76,The NEA Foundation for the Improvement of Education,358915,medium,10/22/2009,10,22,2009
Thinkbox Software,77,"L.U.L.A.C. Institute, Inc.",370005,medium,3/1/2008,3,1,2008
Do.com,78,"University of California, Los Angeles",375000,medium,3/1/2008,3,1,2008
Whole Foods Market,79,"Leadership Conference on Civil Rights Education Fund, Inc.",375030,medium,10/26/2009,10,26,2009
Souq.com,80,Florida Department of Education,383465,medium,10/30/2009,10,30,2009
Graphiq,81,Thomas B. Fordham Institute,398534,medium,6/15/2009,6,15,2009
GameSparks,82,Council of State Governments,399953,medium,3/18/2010,3,18,2010
Wing.ae,83,Mexican American Legal Defense and Educational Fund,400000,medium,8/28/2009,8,28,2009
Body Labs,84,"L.U.L.A.C. Institute, Inc.",400017,medium,9/21/2009,9,21,2009
Goo Technologies,85,National Summer Learning Association,400366,medium,11/1/2009,11,1,2009
Dispatch,86,"Teachers College, Columbia University",402493,medium,9/29/2009,9,29,2009
Blink Home,87,Communities Foundation of Texas,406610,medium,10/15/2009,10,15,2009
Sqrrl,88,Business Higher Education Forum,417517,medium,11/4/2009,11,4,2009
Ring,89,National Staff Development Council,421603,medium,11/1/2008,11,1,2008
PillPack,90,Southeast Asia Resource Action Center,425000,medium,8/28/2009,8,28,2009
Tapzo,91,Roads to Success Inc.,430000,medium,10/26/2009,10,26,2009
Cloud Endure,92,MCNC,432898,medium,3/6/2009,3,6,2009
TSO Logic,93,Regents of the University of California at Berkeley,437807,medium,10/22/2008,10,22,2008
Eero,94,National Association of State Boards of Education,450675,medium,10/26/2009,10,26,2009
Canvas Technology,95,Pollinate Ventures,451125,medium,11/8/2009,11,8,2009
Sizmek Ad and Server and Sizmek Dynamic Creative Optimization,96,Fund for Public Schools Inc.,455394,medium,11/13/2009,11,13,2009
Bebo,97,KIPP Foundation,468500,medium,11/5/2009,11,5,2009
E8 Storage,98,Mathematica Policy Research,470507,medium,7/16/2009,7,16,2009
IGDB,99,MCNC,475000,medium,5/1/2008,5,1,2008
INLT,100,Guaranteach,475077,medium,3/18/2010,3,18,2010
Zoox,101,"Strive: Cincinnati/Northern Kentucky, LLC",490021,medium,7/1/2008,7,1,2008
Wondery,102,New Teacher Center,494933,medium,10/13/2009,10,13,2009
Umbra 3D,103,New Technology Foundation,496776,medium,9/1/2008,9,1,2008
Metro-Goldwyn-Mayer,104,"University of California, Los Angeles",498724,medium,12/1/2008,12,1,2008
Art19,105,National Conference of State Legislatures,499225,medium,5/1/2008,5,1,2008
Wickr,106,Gateway to College National Network,499398,medium,9/1/2008,9,1,2008
Veeqo,107,Ohio Business Alliance for Higher Education and the Economy,500000,medium,11/1/2008,11,1,2008
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
